order_id,customer_id,restaurant_id,order_timestamp,order_value,discount_amount,payment_method,delivery_partner_id,order_status
28,920,47,2023-02-12 13:16,421.78,53.85,Cash,84,Delivered
29,510,36,2023-09-16 18:9,329.76,121.38,Debit Card,20,Delivered
30,630,7,2023-11-15 17:17,463.42,18,Cash,12,Returned
31,1002,32,2023-11-19 16:9,399.12,69.19,Debit Card,38,Delivered
32,1097,48,2023-10-29 16:45,786.38,18.35,Cash,47,Delivered
33,916,3,2023-11-27 21:32,447.32,66.28,Credit Card,82,Delivered
34,1034,39,2023-10-09 20:37,667.78,7.07,UPI,74,Delivered
35,152,29,2023-10-05 19:21,566.77,77.64,UPI,42,Cancelled
36,1029,24,2023-03-14 12:50,435.74,119.36,Credit Card,5,Delivered
37,464,22,2023-06-20 21:2,431.91,101.44,Wallet,115,Delivered
38,1137,6,2023-07-29 17:37,339.32,76.38,Credit Card,127,Failed
39,271,48,2023-12-04 22:21,174.89,124.31,UPI,99,Delivered
40,1187,24,2023-04-25 16:50,633.03,34.17,Debit Card,103,Cancelled
41,460,40,2023-09-22 12:22,742.67,124.62,Cash,140,Delivered
42,105,23,2023-09-25 13:23,252.57,41.45,UPI,138,Delivered
43,162,54,2023-11-14 11:39,747.97,54.37,Credit Card,37,Delivered
44,351,38,2023-11-25 22:39,262.61,19.26,Debit Card,125,Delivered
45,434,10,2023-07-01 19:16,471.06,15.26,UPI,66,Delivered
46,852,16,2023-09-30 16:49,340.54,139.82,Credit Card,67,Delivered
47,140,11,2023-01-24 11:34,180.16,28.5,UPI,14,Delivered
48,1156,32,2023-04-02 12:32,136.99,49.99,Credit Card,47,Delivered
49,87,45,2023-05-29 14:9,355.74,79.37,Credit Card,148,Delivered
50,183,6,2023-02-22 22:8,133.14,52.18,UPI,109,Cancelled
51,368,24,2023-09-19 12:52,172.94,130.52,Debit Card,113,Returned
52,129,33,2023-08-22 16:34,199.61,135.11,UPI,68,Failed
53,670,53,2023-12-04 14:18,101.34,48.9,UPI,115,Delivered
54,149,51,2023-07-16 18:10,207.28,13.8,Debit Card,26,Delivered
55,985,12,2023-07-21 10:35,504.1,31.52,UPI,47,Cancelled
56,852,56,2023-08-11 14:17,673.67,71.16,Cash,73,Delivered
57,628,27,2023-07-07 11:0,235.4,43.27,Cash,3,Delivered
58,446,38,2023-05-22 17:1,156.61,68.02,Cash,130,Delivered
59,884,18,2023-11-03 21:33,610.66,113.81,Credit Card,30,Delivered
60,294,45,2023-10-19 10:50,105.71,63.1,Wallet,3,Cancelled
61,1167,39,2023-12-07 19:0,613.91,29.55,UPI,9,Delivered
62,250,55,2023-07-31 15:46,191.78,53.7,Wallet,8,Delivered
63,878,13,2023-04-10 16:29,259.8,111.45,Cash,9,Delivered
64,948,53,2023-09-20 15:56,184.05,63.61,Debit Card,120,Delivered
65,975,40,2023-06-27 22:9,273.14,37.43,Cash,145,Delivered
66,1049,30,2023-04-30 17:26,658.72,64.11,UPI,142,Delivered
67,789,53,2023-10-29 20:51,192.78,68.22,Wallet,80,Delivered
68,984,49,2023-03-16 15:20,795.92,44.46,Wallet,18,Delivered
69,889,41,2023-07-09 10:18,328.97,149.35,Credit Card,116,Delivered
70,890,52,2023-04-13 17:17,745.38,115.14,Debit Card,27,Failed
71,70,13,2023-04-09 13:42,233.02,103.87,Cash,92,Cancelled
72,625,34,2023-03-24 14:23,231.53,128.23,Debit Card,71,Delivered
73,875,36,2023-02-25 11:21,495.73,99.96,UPI,34,Delivered
74,1136,30,2023-03-09 18:9,135.42,118.65,Credit Card,103,Delivered
75,471,25,2023-03-07 17:32,660.7,61.88,Cash,147,Delivered
76,91,2,2023-05-03 15:42,407.73,75.06,UPI,134,Delivered
77,530,36,2023-05-03 21:9,589.44,7.05,Debit Card,92,Delivered
78,661,18,2023-10-28 10:33,222.24,42.1,Credit Card,140,Delivered
79,739,5,2023-03-08 18:4,549.65,55.2,Cash,143,Delivered
80,726,19,2023-12-28 19:11,515.85,93.82,Debit Card,109,Failed
81,872,42,2023-03-23 19:20,628.96,69.63,Cash,103,Delivered
82,192,18,2023-05-11 14:24,308.18,91.18,Credit Card,64,Delivered
83,138,57,2023-09-07 10:7,753.22,107,Credit Card,64,Delivered
84,345,32,2023-01-17 18:31,772.91,6.41,Debit Card,15,Delivered
85,1009,21,2023-03-11 10:39,707.69,38.74,Cash,100,Delivered
86,503,10,2023-01-21 16:6,500.42,25.64,Wallet,67,Failed
87,203,37,2023-04-21 16:53,394.2,28.12,UPI,1,Delivered
88,573,49,2023-10-10 17:8,140.59,75.47,Credit Card,7,Delivered
89,192,22,2023-10-11 11:6,763.06,111,Cash,137,Cancelled
90,5,13,2023-02-16 11:21,766.25,40.92,Debit Card,1,Delivered
91,311,55,2023-08-30 19:53,113.08,123.67,Debit Card,5,Delivered
92,549,17,2023-10-16 16:2,349.82,133.87,Credit Card,47,Delivered
93,56,9,2023-09-27 21:45,716.03,52.58,Credit Card,100,Delivered
94,443,24,2023-03-02 13:12,156.6,102.2,Wallet,10,Delivered
95,870,44,2023-09-29 15:4,237.6,17.56,Debit Card,2,Delivered
96,585,14,2023-09-01 18:37,785.07,111.6,Cash,23,Delivered
97,752,46,2023-02-07 16:55,693.1,24.75,UPI,103,Delivered
98,360,8,2023-11-15 17:47,738.44,103.11,UPI,147,Returned
99,819,55,2023-04-15 19:58,199.51,63.29,Wallet,47,Delivered
100,30,37,2023-03-18 21:50,247.92,139.27,Cash,84,Delivered
101,108,19,2023-08-06 16:54,523.79,69.67,UPI,49,Delivered
102,844,28,2023-05-09 17:3,451.22,4.64,UPI,50,Delivered
103,717,46,2023-03-26 15:50,308.95,72.1,Cash,17,Delivered
104,891,41,2023-11-10 14:48,718.69,119.32,Cash,48,Delivered
105,960,30,2023-03-08 12:0,730.97,97.06,Credit Card,121,Cancelled
106,893,7,2023-01-29 16:32,304.18,144.95,UPI,2,Delivered
107,732,59,2023-04-29 13:40,209.03,126.49,UPI,85,Delivered
108,606,58,2023-05-31 14:6,204.36,78.98,Wallet,13,Delivered
109,457,26,2023-07-04 19:5,439.1,30.98,Credit Card,61,Delivered
110,615,40,2023-06-26 15:48,193.04,0.57,Credit Card,11,Cancelled
111,698,46,2023-03-18 21:3,431.34,147.08,UPI,97,Delivered
112,674,54,2023-11-24 14:30,423.35,140.75,Debit Card,27,Cancelled
113,543,60,2023-05-08 22:25,718.88,41.12,Debit Card,35,Delivered
114,857,46,2023-08-23 17:39,307.35,95.73,Cash,18,Returned
115,897,11,2023-08-25 22:4,492.46,109.39,Credit Card,68,Delivered
116,278,14,2023-06-05 14:39,620.45,86.7,UPI,41,Delivered
117,552,21,2023-03-22 16:22,517.14,126.44,UPI,96,Delivered
118,111,8,2023-05-17 11:31,767.85,11.67,UPI,139,Returned
119,385,3,2023-11-03 13:48,521.59,134.47,Wallet,67,Delivered
120,761,28,2023-01-31 16:29,731.3,58.8,Debit Card,52,Delivered
121,694,29,2023-01-03 12:50,271.54,72.1,Wallet,119,Delivered
122,405,23,2023-02-25 18:9,492.53,66.71,UPI,85,Delivered
123,22,18,2023-03-02 11:57,480.31,79.69,UPI,70,Delivered
124,678,35,2023-06-24 19:0,792.62,89.73,Credit Card,28,Delivered
125,611,13,2023-02-07 18:5,243.15,106.55,Credit Card,107,Delivered
126,8,12,2023-12-04 10:55,198.7,78.74,Debit Card,36,Cancelled
127,702,47,2023-03-08 10:47,528.17,102.72,Cash,92,Delivered
128,529,50,2023-11-12 10:39,256.58,50.74,UPI,147,Delivered
129,602,5,2023-07-28 18:40,547.41,140.5,Credit Card,12,Delivered
130,657,39,2023-04-25 13:52,780.74,9.68,Debit Card,76,Delivered
131,166,11,2023-12-11 22:10,762.55,81.83,Wallet,24,Delivered
132,849,58,2023-11-12 13:13,261.77,13.11,UPI,65,Delivered
133,496,59,2023-10-29 15:16,219.63,66.42,Cash,92,Delivered
134,590,11,2023-11-18 17:35,492.52,38.64,Debit Card,80,Delivered
135,429,59,2023-03-15 16:35,510.74,140.54,Cash,149,Delivered
136,774,47,2023-01-16 18:40,563.58,1.96,UPI,98,Delivered
137,163,42,2023-01-04 22:55,619.04,58.68,Debit Card,26,Delivered
138,366,47,2023-01-06 10:38,520.67,117.31,Credit Card,118,Delivered
139,72,31,2023-08-20 18:2,178.23,28.27,Cash,80,Cancelled
140,655,31,2023-03-06 10:38,653.11,122.34,Wallet,58,Delivered
141,269,13,2023-10-04 22:29,155.66,128.96,Wallet,137,Delivered
142,415,14,2023-08-12 10:47,113.99,106.2,Cash,78,Cancelled
143,1016,49,2023-10-05 15:45,638.76,31.36,UPI,121,Failed
144,675,45,2023-01-04 16:54,483.85,40.81,UPI,72,Delivered
145,1084,42,2023-08-05 21:16,589.01,25.04,UPI,2,Delivered
146,6,25,2023-03-15 12:54,367.92,27.61,Wallet,2,Failed
147,982,33,2023-04-03 21:0,107.76,5.47,Wallet,111,Delivered
148,570,33,2023-11-17 19:17,331.71,128.6,Credit Card,146,Delivered
149,407,15,2023-10-30 11:48,525.69,79.28,UPI,69,Delivered
150,26,16,2023-10-05 15:25,257.99,49.16,Wallet,122,Delivered
151,1029,44,2023-08-06 18:20,581.46,43.44,Wallet,19,Delivered
152,986,58,2023-04-05 13:42,656.08,81.7,UPI,19,Returned
153,390,56,2023-09-05 10:6,417.99,49,UPI,112,Delivered
154,710,38,2023-06-01 18:10,713,129.56,Wallet,28,Delivered
155,571,6,2023-08-03 12:1,698.37,31.64,Cash,75,Delivered
156,754,44,2023-05-23 12:35,714.64,132.35,Wallet,50,Delivered
157,146,25,2023-06-16 21:3,562.73,99.61,Credit Card,139,Delivered
158,785,15,2023-07-11 19:5,313.35,143.49,Debit Card,55,Returned
159,526,4,2023-07-04 15:45,436.88,2.27,UPI,137,Delivered
160,13,56,2023-04-09 10:42,597.36,8.86,Credit Card,142,Delivered
161,903,4,2023-07-21 19:52,247.39,75.13,Cash,113,Delivered
162,384,30,2023-04-06 19:41,617.19,136.86,Debit Card,149,Delivered
163,556,34,2023-03-08 17:25,483.66,109.62,Wallet,48,Delivered
164,887,27,2023-01-15 10:26,167.21,93.32,UPI,58,Delivered
165,19,31,2023-10-01 12:18,490.1,4.74,Wallet,137,Delivered
166,575,56,2023-11-28 17:4,146.74,53.12,Credit Card,18,Delivered
167,751,32,2023-06-01 20:47,110.02,51.88,UPI,12,Cancelled
168,1004,44,2023-01-15 20:37,722.74,81.31,Wallet,124,Delivered
169,419,39,2023-12-20 20:19,442.94,38.67,UPI,16,Delivered
170,419,52,2023-07-11 18:31,480.3,40.07,Credit Card,148,Delivered
171,122,9,2023-11-20 14:52,295.96,93.13,Wallet,20,Delivered
172,432,41,2023-05-16 15:41,479.92,141.69,Debit Card,143,Cancelled
173,44,8,2023-01-07 15:45,218.21,99.03,Cash,25,Delivered
174,381,14,2023-01-30 14:15,621.95,100.22,Wallet,145,Delivered
175,145,33,2023-03-20 14:2,676.34,147.93,UPI,12,Delivered
176,363,23,2023-01-23 22:9,699.11,23.02,Wallet,109,Failed
177,1074,21,2023-01-05 16:14,174.66,5.08,UPI,39,Delivered
178,1089,55,2023-03-23 18:7,490.43,111.83,Credit Card,71,Delivered
179,355,12,2023-01-02 15:7,666.13,65.82,Cash,47,Delivered
180,800,57,2023-12-09 17:3,189.75,64.32,UPI,25,Failed
181,1188,2,2023-11-16 12:22,169.67,33.8,Wallet,118,Delivered
182,1165,13,2023-03-23 14:28,671.86,76.03,Credit Card,33,Delivered
183,826,59,2023-12-09 10:51,657.72,66.33,Debit Card,29,Delivered
184,1152,4,2023-06-24 11:53,414.09,51.82,Wallet,3,Delivered
185,398,20,2023-12-19 16:50,176.8,66.41,Cash,39,Delivered
186,880,50,2023-12-14 10:55,461.29,57.58,Credit Card,4,Delivered
187,463,51,2023-08-19 11:38,376.36,140.98,Wallet,95,Delivered
188,808,48,2023-01-19 22:56,462.98,147.04,UPI,134,Cancelled
189,187,59,2023-01-24 14:22,407.93,125.99,UPI,138,Delivered
190,732,14,2023-07-30 10:32,497.96,148.56,UPI,12,Delivered
191,429,30,2023-09-12 20:49,608.99,39.86,Wallet,118,Delivered
192,858,29,2023-06-09 20:27,642.4,126.44,Cash,66,Delivered
193,237,8,2023-12-23 18:11,554.29,60.99,UPI,131,Delivered
194,771,12,2023-08-30 16:10,239.26,111.92,Wallet,64,Delivered
195,758,41,2023-04-07 12:53,377.99,30.21,Wallet,35,Delivered
196,136,38,2023-02-26 19:33,149.86,121.79,Cash,112,Delivered
197,792,26,2023-07-18 13:1,416.17,12.52,Credit Card,52,Delivered
198,171,50,2023-10-15 19:40,779.24,40.58,Credit Card,34,Delivered
199,159,2,2023-08-06 20:40,549.21,123.29,Wallet,84,Delivered
200,201,55,2023-05-07 18:7,208.23,112.07,Credit Card,80,Delivered
201,962,40,2023-09-09 11:23,288,75.19,Debit Card,111,Cancelled
202,583,56,2023-12-19 18:40,145.2,100.92,Cash,92,Returned
203,876,14,2023-11-15 17:26,227.69,27.84,Wallet,41,Failed
204,371,6,2023-10-04 14:34,441.49,100.16,Credit Card,87,Cancelled
205,103,42,2023-12-07 13:48,341.4,1.2,Credit Card,51,Failed
206,1002,40,2023-12-02 18:30,242.77,124.98,Cash,126,Delivered
207,1149,31,2023-07-09 13:34,202.62,77.44,UPI,146,Failed
208,976,17,2023-07-17 10:20,559.25,141.58,Credit Card,41,Delivered
209,798,25,2023-12-02 16:33,490.67,71.72,Cash,99,Delivered
210,658,32,2023-05-01 21:14,689.85,64.96,UPI,107,Delivered
211,882,12,2023-09-19 11:23,228.28,67.51,Wallet,24,Delivered
212,733,49,2023-11-08 10:27,693.59,53.96,UPI,47,Returned
213,423,13,2023-05-09 10:27,504.54,25,Credit Card,28,Delivered
214,572,19,2023-12-22 13:47,286.36,126.31,Wallet,36,Delivered
215,171,44,2023-11-24 10:25,291.49,58.36,Wallet,21,Delivered
216,173,48,2023-02-20 20:48,373.27,79.37,UPI,69,Delivered
217,663,25,2023-03-15 21:40,422.09,2.98,Wallet,44,Delivered
218,453,31,2023-07-18 22:11,157.75,9.04,UPI,121,Delivered
219,350,59,2023-08-27 17:16,689.4,89.58,UPI,150,Delivered
220,494,37,2023-09-27 11:47,185.08,131.88,UPI,148,Returned
221,620,25,2023-11-13 10:34,438.42,74.01,Cash,2,Delivered
222,1028,16,2023-04-29 10:58,368.08,24.75,Credit Card,41,Delivered
223,1117,57,2023-08-30 11:35,458.6,17.42,Wallet,54,Delivered
224,919,38,2023-09-09 12:50,721.24,134.97,Debit Card,146,Delivered
225,6,43,2023-02-11 14:18,792.36,105.25,Credit Card,133,Delivered
226,288,49,2023-04-17 16:4,114.19,144.93,Debit Card,46,Cancelled
227,1170,58,2023-06-29 21:18,375.27,12.35,UPI,75,Cancelled
228,608,23,2023-07-23 13:11,672.33,135.39,Wallet,149,Delivered
229,457,14,2023-03-23 10:50,328.62,126.84,Credit Card,150,Delivered
230,1030,6,2023-10-26 11:47,554.33,133.98,Debit Card,3,Delivered
231,624,25,2023-04-07 10:17,794.58,0.86,Debit Card,9,Cancelled
232,376,23,2023-05-05 22:56,552.74,111.29,Debit Card,2,Cancelled
233,447,60,2023-12-15 22:4,177.83,82.34,Credit Card,28,Delivered
234,835,43,2023-01-24 22:58,690.05,85.98,Cash,34,Delivered
235,1130,12,2023-10-21 10:9,776.66,70.38,UPI,59,Delivered
236,811,13,2023-06-14 21:32,598.76,111.4,Wallet,10,Cancelled
237,1120,36,2023-08-03 19:10,393.35,149.98,Debit Card,83,Delivered
238,959,39,2023-10-07 17:6,763.88,106.58,Credit Card,93,Delivered
239,849,34,2023-04-24 14:19,778,101.71,Debit Card,2,Delivered
240,809,6,2023-09-02 19:24,754.58,98.17,Credit Card,48,Delivered
241,979,38,2023-08-28 21:39,388.27,104.28,Cash,134,Delivered
242,416,50,2023-08-20 11:5,652.8,51.32,Debit Card,44,Delivered
243,726,52,2023-08-17 11:11,557.93,48.03,Debit Card,36,Delivered
244,454,40,2023-10-06 22:16,225.79,117.65,Wallet,136,Delivered
245,150,8,2023-01-16 18:25,474.86,7.96,Credit Card,83,Delivered
246,759,8,2023-08-08 10:46,623.38,113.89,Credit Card,10,Delivered
247,779,40,2023-09-25 14:54,727.14,122.08,Cash,102,Delivered
248,973,33,2023-06-27 13:1,703.82,78.24,Debit Card,93,Delivered
249,763,34,2023-02-05 15:21,208.26,136.52,Wallet,19,Delivered
250,1002,44,2023-04-18 22:49,441.62,70.96,UPI,18,Delivered
251,76,15,2023-04-06 20:19,434.79,26.71,Wallet,115,Returned
252,599,36,2023-06-13 10:14,729.12,54.21,Wallet,23,Cancelled
253,225,60,2023-03-03 11:45,101.36,135.88,Wallet,129,Delivered
254,113,57,2023-05-11 22:46,617.1,149.06,Wallet,59,Delivered
255,251,35,2023-04-01 14:58,533.05,63.28,Debit Card,107,Cancelled
256,841,46,2023-12-08 12:53,745.1,25.03,Wallet,131,Delivered
257,714,22,2023-07-17 19:53,419.84,42.95,Credit Card,10,Delivered
258,1107,23,2023-01-01 12:6,560.37,82.99,Credit Card,123,Delivered
259,125,40,2023-11-28 13:22,780.92,85.81,Wallet,49,Delivered
260,1199,45,2023-06-02 20:28,620.73,94.51,Credit Card,56,Delivered
261,1093,55,2023-04-05 11:40,147.17,125.3,Debit Card,90,Returned
262,1071,51,2023-05-27 15:3,217.27,106.68,UPI,144,Delivered
263,884,22,2023-10-24 20:14,675.02,39.13,Wallet,39,Delivered
264,30,5,2023-07-01 17:14,334.36,59.26,Credit Card,109,Delivered
265,281,31,2023-07-26 11:38,594.14,125.97,Credit Card,96,Delivered
266,924,13,2023-01-22 11:15,589.88,95.01,Debit Card,44,Returned
267,368,28,2023-05-10 13:19,795.59,24.96,Debit Card,8,Delivered
268,495,58,2023-11-19 17:29,428.91,48.83,UPI,136,Delivered
269,1049,20,2023-02-24 11:34,616.48,118.66,Cash,45,Delivered
270,718,33,2023-01-26 18:4,134.13,25.81,Cash,139,Failed
271,1017,16,2023-05-10 12:55,423.81,103.66,Cash,97,Delivered
272,606,29,2023-07-31 11:33,230.68,84.53,UPI,17,Cancelled
273,375,23,2023-09-03 17:54,688.4,22.12,Wallet,83,Delivered
274,639,24,2023-10-03 11:24,687.94,103.33,Cash,79,Delivered
275,1049,34,2023-12-06 18:52,265.46,21.35,Cash,56,Delivered
276,116,7,2023-04-21 21:42,322.8,59.77,Credit Card,44,Delivered
277,48,38,2023-07-23 14:1,591.73,46.28,Credit Card,53,Delivered
278,99,37,2023-01-16 16:29,616.79,103.5,Wallet,39,Delivered
279,405,4,2023-06-15 22:50,560.34,117.35,Debit Card,130,Delivered
280,685,34,2023-10-07 12:29,797.69,25.25,UPI,98,Delivered
281,903,42,2023-09-06 20:52,708.08,121.8,Cash,25,Delivered
282,503,22,2023-07-10 16:10,391.94,1.08,UPI,80,Delivered
283,894,5,2023-03-19 16:52,328.88,79.51,Credit Card,32,Returned
284,258,50,2023-12-02 11:20,517.79,77.52,UPI,79,Delivered
285,844,42,2023-07-02 16:3,672.35,93.57,Credit Card,78,Delivered
286,121,23,2023-11-13 12:58,432.74,35.96,UPI,79,Delivered
287,810,54,2023-05-13 13:30,616.38,1.48,Credit Card,71,Delivered
288,978,60,2023-06-21 16:29,113.41,68.21,UPI,7,Delivered
289,54,15,2023-06-24 16:40,748.09,10.71,Cash,18,Delivered
290,1019,31,2023-07-15 14:40,641.68,133.83,Cash,17,Cancelled
291,784,59,2023-06-22 19:26,375.93,26.05,Wallet,117,Failed
292,241,9,2023-07-27 22:35,368.81,63.78,UPI,104,Delivered
293,483,43,2023-03-26 22:52,172.02,65.1,Debit Card,77,Delivered
294,1013,58,2023-12-26 22:14,671.31,82.93,Wallet,59,Delivered
295,187,53,2023-07-31 13:44,638.04,117.38,UPI,11,Delivered
296,656,25,2023-07-02 20:4,541.17,70.82,Debit Card,125,Delivered
297,262,25,2023-10-15 15:29,171.02,3.86,Cash,51,Delivered
298,953,49,2023-10-09 14:12,283.64,115.67,Cash,7,Delivered
299,491,21,2023-12-15 14:24,421.24,12.33,Cash,37,Delivered
300,431,9,2023-05-21 17:30,286.18,96.23,Debit Card,5,Delivered
301,239,55,2023-01-20 16:7,403.78,120.51,Credit Card,62,Cancelled
302,304,48,2023-07-20 14:50,258.17,42.4,UPI,74,Delivered
303,298,38,2023-07-08 13:14,344.72,67.37,Wallet,90,Delivered
304,76,22,2023-01-26 15:41,556.61,2.15,Wallet,79,Delivered
305,999,43,2023-01-11 20:29,724.65,120.58,Cash,55,Delivered
306,642,23,2023-03-24 11:37,369.52,105.49,Credit Card,144,Delivered
307,827,49,2023-03-28 14:0,584.34,34.71,UPI,92,Delivered
308,283,4,2023-06-05 13:29,194.36,58.53,UPI,74,Delivered
309,591,29,2023-07-05 15:4,478.57,104.3,Wallet,56,Cancelled
310,72,15,2023-05-23 15:13,745.19,53.72,Wallet,61,Delivered
311,703,1,2023-05-22 18:58,119.56,24.36,Wallet,104,Delivered
312,575,54,2023-08-29 17:7,287.29,77.78,UPI,117,Delivered
313,1000,30,2023-10-15 22:40,192.75,108.54,Wallet,78,Delivered
314,892,29,2023-11-27 22:12,473.19,48.12,UPI,33,Delivered
315,12,20,2023-06-04 17:18,575.75,18.27,Cash,55,Delivered
316,141,33,2023-06-03 14:50,140.45,124.43,Credit Card,18,Delivered
317,17,41,2023-08-28 18:27,149.2,37.92,Wallet,140,Delivered
318,1087,44,2023-08-12 13:53,708.74,76.92,UPI,74,Delivered
319,253,36,2023-09-16 12:31,419.36,103.7,Cash,21,Delivered
320,465,60,2023-07-16 17:13,424.07,47.56,Debit Card,97,Delivered
321,376,22,2023-04-30 12:23,761.21,97.3,Cash,149,Delivered
322,981,13,2023-09-26 20:28,324.15,68.96,Credit Card,150,Delivered
323,520,7,2023-03-13 12:41,727.92,85.57,Cash,46,Cancelled
324,90,8,2023-06-08 22:25,781.98,88.59,Wallet,41,Delivered
325,720,28,2023-03-23 18:6,269.19,123.62,Wallet,5,Delivered
326,804,45,2023-04-22 15:47,459.83,98.45,Debit Card,44,Delivered
327,796,43,2023-03-21 16:55,474.05,39.65,UPI,144,Delivered
328,630,9,2023-11-12 10:55,706.32,8.94,Cash,5,Delivered
329,1199,25,2023-04-25 12:37,312.74,0.3,Debit Card,62,Delivered
330,76,56,2023-01-04 13:3,658.63,135.66,Wallet,90,Delivered
331,926,16,2023-02-11 18:39,779.71,141.32,UPI,26,Delivered
332,400,10,2023-11-03 10:16,688.24,14.12,UPI,61,Delivered
333,970,11,2023-04-07 13:13,736.4,73.06,Credit Card,69,Failed
334,1095,31,2023-10-05 13:26,595.85,22.74,Wallet,50,Delivered
335,1148,12,2023-02-12 12:23,732.77,142.31,UPI,125,Delivered
336,797,60,2023-04-04 17:21,215.4,37.02,Credit Card,36,Cancelled
337,195,31,2023-12-11 21:9,598.65,75.25,Credit Card,30,Delivered
338,228,14,2023-09-03 10:51,612.31,24.84,Wallet,69,Delivered
339,461,51,2023-01-21 16:23,407.43,49.91,UPI,22,Delivered
340,618,44,2023-09-22 13:55,155.82,40.02,UPI,33,Delivered
341,1045,32,2023-08-15 13:41,535.71,71.31,Cash,69,Delivered
342,64,50,2023-02-05 15:8,136.32,62.97,UPI,96,Cancelled
343,165,53,2023-05-30 10:4,367.68,49.62,Credit Card,50,Delivered
344,27,17,2023-10-20 15:18,375.57,15.88,Debit Card,23,Delivered
345,1012,35,2023-03-13 19:42,799.25,72.67,Wallet,138,Delivered
346,285,1,2023-04-06 22:19,309.86,127.53,Debit Card,114,Delivered
347,281,29,2023-08-16 20:43,674.32,109.53,UPI,17,Cancelled
348,838,51,2023-10-20 19:30,137.22,108.09,Credit Card,91,Delivered
349,831,4,2023-10-08 22:23,470.84,54.91,Debit Card,136,Cancelled
350,1188,23,2023-08-19 14:40,475.68,106.26,Wallet,122,Delivered
351,918,28,2023-11-25 19:41,540.12,69.83,Cash,134,Cancelled
352,224,16,2023-09-15 13:7,667,22.54,Debit Card,71,Delivered
353,784,12,2023-04-06 22:13,633.35,62.86,Cash,90,Delivered
354,1170,53,2023-04-23 22:20,632.71,19.91,UPI,54,Delivered
355,965,21,2023-11-16 17:25,402.61,17.17,UPI,23,Delivered
356,950,45,2023-06-09 21:56,609.23,3.46,Wallet,51,Delivered
357,1054,17,2023-04-29 17:52,443.92,42.43,Cash,58,Delivered
358,45,40,2023-06-10 13:30,146.87,49.63,Cash,147,Failed
359,471,13,2023-05-26 12:11,723.13,104.92,Wallet,25,Delivered
360,34,52,2023-06-28 18:44,723.11,80.7,Debit Card,149,Delivered
361,653,58,2023-08-11 19:46,326.02,128.77,Wallet,123,Delivered
362,830,32,2023-11-04 11:50,739.73,26.47,UPI,25,Delivered
363,221,37,2023-06-16 17:31,630.59,39.89,Cash,125,Delivered
364,534,50,2023-05-30 13:5,380.56,141.16,Credit Card,71,Delivered
365,692,15,2023-07-08 20:48,332.05,66.61,Credit Card,35,Delivered
366,932,12,2023-01-29 19:55,782.6,118.36,UPI,70,Delivered
367,841,49,2023-12-03 14:33,598.84,73.83,Cash,104,Delivered
368,1011,57,2023-05-08 15:56,365.17,70.66,Cash,143,Delivered
369,582,15,2023-12-23 13:1,549.39,22.22,Wallet,49,Delivered
370,1140,34,2023-01-12 12:5,500.07,127.68,Debit Card,68,Delivered
371,239,6,2023-09-05 17:20,467.18,11.75,Wallet,7,Delivered
372,441,17,2023-09-02 19:45,551.29,46.54,Credit Card,94,Delivered
373,148,48,2023-11-13 12:47,476.34,101.02,Cash,128,Delivered
374,1033,49,2023-03-12 22:5,558.35,76.09,Debit Card,81,Cancelled
375,388,57,2023-08-27 10:3,735.3,132.21,Wallet,38,Delivered
